id,username,password_hash,role,employee_id,is_active
101,user_demo_01,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,25.0,True
102,user_demo_02,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,18.0,True
103,user_demo_03,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,30.0,True
104,user_demo_04,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,5.0,True
105,user_demo_05,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,27.0,True
106,user_demo_06,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,22.0,True
107,user_demo_07,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,Manager,16.0,True
108,user_demo_08,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,Manager,29.0,True
109,user_demo_09,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,Admin,6.0,True
110,user_demo_10,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,9.0,True
111,user_demo_11,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,17.0,True
112,user_demo_12,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,Admin,14.0,True
113,user_demo_13,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,7.0,True
114,user_demo_14,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,Manager,23.0,True
115,user_demo_15,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,Manager,,True
116,user_demo_16,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,Admin,,True
117,user_demo_17,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,,True
118,user_demo_18,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,,True
119,user_demo_19,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,,True
120,user_demo_20,$2b$12$SWpEDSqHjhAu22zr1Ce3s.ryIk4gpOrYDwWdihL0GuwWZb5oFIDlC,User,,True
